"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__reply_to_message_id","messages__file","messages__media_type","messages__mime_type","messages__duration_seconds","messages__thumbnail","messages__text__href","messages__forwarded_from","messages__actor","messages__actor_id","messages__action","messages__message_id"
"","","","13785","message","2020-08-09T08:14:09","2020-08-09T08:19:15","Onliner","9598013669","","464","848","Вот так сейчас выглядит участок, где собирается голосовать Светлана Тихановская.","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","13786","message","2020-08-09T08:14:09","","Onliner","9598013669","","720","1280","","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","9","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","13787","message","2020-08-09T08:16:12","","Onliner","9598013669","","464","848","Светлана Тихановская проголосовала.","","","13785","(File not included. Change data exporting settings to download.)","video_file","video/mp4","28","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","13788","message","2020-08-09T08:43:09","","Onliner","9598013669","","1080","1920","Мария Колесникова также посетила свой избирательный участок.","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","14","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","13789","message","2020-08-09T08:47:39","2020-08-09T09:15:09","Onliner","9598013669","","","","👉 На въезде в Минск происходят выборочные проверки. Водители говорят, что по чуть-чуть начинают скапливаться очереди.\n\n👉 Twitter платформы «Голос» сообщает, что сайт не открывается в Беларуси либо перенаправляется на фишинговый. \n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","italic","«Если вас просят ввести телефон на сайте — это не мы!»","","","","","","","","","","","",""
"","","","","","","","","","","","",". ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","italic","Новый адрес платформы «Голос»: bit.ly/golos_pro\n","","","","","","","","","","","",""
"","","","","","","","","","","","","\n👉 Генеральный директор «Белтелекома» Юрий Петрученя говорит, что кибератаки начались накануне и продолжаются сегодня.","","","","","","","","","","","","","",""
"","","","13790","message","2020-08-09T09:12:28","","Onliner","9598013669","","720","1280","Вот такая очередь на участок в 32 школу в Минске.\n\nОколо 16:00 на участок приехали глава минского ОМОНа и еще 5 сотрудников. Позже к избирателям в очереди вышла представительница участковой комиссии и сообщила: \n\n","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","","","","","","","","","","","italic","«Люди, вы все не проголосуете","","","","","","","","","","","",""
"","","","","","","","","","","","","».","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","italic"," ","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\nНо пока избиратели не расходятся.","","","","","","","","","","","","","",""
"","","","13791","message","2020-08-09T09:55:12","2020-08-09T09:55:24","Onliner","9598013669","","","","Белорусы из Парижа рассказывают про очередь на учаcток:\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","«У нас еще больше сотни человек на 38-градусной жаре. Посольство принимает 10 человек в час. Волонтеры разносят воду холодную людям и еду. Многие приехали из других регионов.»","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\nА на участке №102 в Москве из-за огромного наплыва избирателей число кабин для голосования на выборах Президента Беларуси экстренно увеличили вдвое - с 3 до 6. По данным на 14.00 в Москве проголосовали 2433 человека.","","","","","","","","","","","","","",""
"","","","13792","message","2020-08-09T09:58:07","","Onliner","9598013669","","","","Ермошина: очереди у избирательных участков — результат провокации.","","","","","","","","","","","","","",""
"","","","13793","message","2020-08-09T10:09:47","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","","","","","","","",""
"","","","13794","message","2020-08-09T10:09:47","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","","","","","","","",""
"","","","13795","message","2020-08-09T10:09:47","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","","","","","","","",""
"","","","13796","message","2020-08-09T10:09:47","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","","","","","","","",""
"","","","13797","message","2020-08-09T10:09:47","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","733","В Минск введена спецтехника внутренних войск.","","","","","","","","","","","","","",""
"","","","13798","message","2020-08-09T10:13:25","","Onliner","9598013669","","","","На 16:00 общая явка избирателей в Беларуси составила 73,4%\n\n📍Гомельская область — 81,87%\n\n📍Могилевская — 80,29%\n\n📍Брестская — 75,11%\n\n📍Витебская — 75,5%\n\n📍Гродненская — 75,66%\n\n📍Минская — 72,3%\n\n📍Минск — 58,79%","","","","","","","","","","","","","",""
"","","","13799","message","2020-08-09T10:18:43","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1280","853","Мы позвонили на избирательный участок средней школы № 32. Председатель комиссии Елена Липень ответила, что все на участке хорошо организовано.\n\nВот такой получился диалог:\n\n— У нас никакой проблемы, у нас все организовано, выборы идут с 4-го числа. Не знаю, почему очереди, — рассказала она.\n\n","","","13790","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","— Люди говорят, что очереди движутся медленно, так как три кабинки?","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\n— Не медленно. Не медленно.\n\n","","","","","","","","","","","","","",""
