"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__forwarded_from","messages__reply_to_message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__text__href"
"","","","9869","message","2020-08-09T06:13:56","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Лукашенко о том, как переболел коронавирусом.\n\n«Состояние — ежик в тумане». ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696002.html?tg","","","","","","","","","","","","","",""
"","","","9870","message","2020-08-09T06:15:25","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1023","575","Кандидаты в президенты Анна Канопацкая и Андрей Дмитриев проголосовали.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696004.html?tg","","","","","","","","","","","","","",""
"","","","9871","message","2020-08-09T06:29:47","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","909","473","В работе Viber произошел сбой.\n\n ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://42.tut.by/696010?tg","","","","","","","","","","","","","",""
"","","","9872","message","2020-08-09T06:30:22","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Лукашенко — о соперниках и Тихановской.\n\n«Они ничего не стоят, чтобы против них предпринимать какие-то репрессии».  ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696008.html?tg","","","","","","","","","","","","","",""
"","","","9873","message","2020-08-09T06:55:35","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Ермошина: Складывается впечатление, что жалобы подают одни и те же люди. И, судя по всему, им обещана плата.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696014.html?tg","","","","","","","","","","","","","",""
"","","","9874","message","2020-08-09T06:57:00","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","8 августа в Минске задержали четверых наблюдателей. \n\nГде трое из них, близкие не знают до сих пор. ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/695989.html?tg","","","","","","","","","","","","","",""
"","","","9875","message","2020-08-09T07:27:24","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Вероника Цепкало выехала из Беларуси.\n\n ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696022.html?tg","","","","","","","","","","","","","",""
"","","","9876","message","2020-08-09T07:33:46","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","2000","1500","Возле избирательных участков в последний день голосования собрались очереди.\n\nВот фото и видео. ","","","","","","","","","","","","","","","",""
