"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__forwarded_from","messages__photo","messages__width","messages__height","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__edited","messages__text__href","messages__title"
"","","","","","","","",".\n\nЛукашенко — 80,08%\nТихановская — 10,09%","","","","","","","","","","","","","","","","","","","","",""
"","","","4518","message","2020-08-10T09:38:25","Работаем с Пушкиным!","9712980906","Если у вас MacBook, то при помощи этой программы работает интернет (телеграм/гугл/ютуб и тд.)","","","","","","","","","","","","","(File not included. Change data exporting settings to download.)","","","application/octet-stream","","","","",""
"","","","4519","message","2020-08-10T13:43:11","Работаем с Пушкиным!","9712980906","В Минске на улице Кальварийской протестующие загородили дорогу  \n\nФото: Дарья Бурякина, ","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1280","852","","","","","","","","",""
"","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","","","","",""
"","","","4520","message","2020-08-10T13:43:11","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1280","852","","","","","","","","",""
"","","","4521","message","2020-08-10T13:43:11","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1280","852","","","","","","","","",""
"","","","4522","message","2020-08-10T13:43:11","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1280","852","","","","","","","","",""
"","","","4523","message","2020-08-10T13:43:11","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1280","852","","","","","","","","",""
"","","","4527","message","2020-08-10T13:55:48","Работаем с Пушкиным!","9712980906","Обстановка на Кальварийской.","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1280","852","","","","","","","","",""
"","","","4528","message","2020-08-10T13:55:48","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1280","852","","","","","","","","",""
"","","","4529","message","2020-08-10T13:55:48","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1280","852","","","","","","","","",""
"","","","4530","message","2020-08-10T16:45:24","Работаем с Пушкиным!","9712980906","‼️ МВД: Сегодня Минске погиб один протестующий.","","","","","","","","","","","","","","","","","","","2020-08-10T16:45:50","",""
"","","","4531","message","2020-08-10T18:31:44","Работаем с Пушкиным!","9712980906","Протесты возле Пушкинской в Минске вечером 10 августа.\n\nФото: Дарья Бурякина, ","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","4532","message","2020-08-10T18:31:44","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","4533","message","2020-08-10T18:31:44","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","4534","message","2020-08-10T18:31:44","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","4535","message","2020-08-10T18:31:44","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","4536","message","2020-08-10T18:31:44","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","4537","message","2020-08-10T19:56:49","Работаем с Пушкиным!","9712980906","Минск, станция метро Пушкинская.\n\nФото: Вадим Замировский, ","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","4538","message","2020-08-10T19:56:55","Работаем с Пушкиным!","9712980906","Фото: Вадим Замировский, ","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","4539","message","2020-08-10T19:56:55","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","4540","message","2020-08-10T19:56:55","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","4541","message","2020-08-10T19:56:55","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","4542","message","2020-08-10T19:56:55","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","",""
"","","","4543","message","2020-08-11T03:34:38","Работаем с Пушкиным!","9712980906","","bold","Светлану Тихановскую вывезли из страны белорусские власти, ее отъезд позволил освободить начальника ее штаба Марию Мороз, задержанную накануне выборов. \n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Об этом рассказала доверенное лицо Тихановской Ольга Ковалькова.","","","","","","","","","","","","","","","","","","","","",""
"","","","4544","message","2020-08-11T04:13:04","Работаем с Пушкиным!","9712980906","Светлана Тихановская - Я уехала к детям.","","","","","","","","","","","1280","720","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","100","","","",""
