"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__title","messages__reply_to_message_id"
"","","","","","","","","","","","","","italic","Вы что, хотите пытаться свергнуть власть, сломать что-то, уколоть, оскорбить (как это вы делали вначале больше, а сейчас меньше) и ждете, что я или кто-то перед вами станет на колени и будет целовать колени и песок, по которому вы бродили? Не будет этого. Ведите себя по закону, и у нас претензий к вам не будет,\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," — сказал Александр Лукашенко.\n\nЯ как-то грубо сказал, по-мужски. Но вот вы обижаетесь, что вот ОМОН кого-то взял, обидел… Неужели вы не понимаете, что все ваши сторонники, тутбаевцы и другие, «Свабоды», — вы же мордобоя хотели!\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","— Нет.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","— Ну не вы лично, а те, кто за вами стояли. У меня информации достаточно. Пока мордобоя не было, просто мы вас поставили на место. Вы хотите, чтобы я вверг в хаос страну? Так вы же меня потом истопчете и будете правы, что я вас не защитил. Я хочу, чтобы было спокойно, чтобы мы с вами вели диалог, если он есть. И если вы способны что-то сделать для страны, поверьте, я создам вам все условия для того, чтобы вы работали на страну. Если вы будете бороться против страны, если вы будете пытаться хоть в мельчайших вещах ввергнуть страну в хаос и дестабилизировать обстановку — вы получите от меня мгновенный ответ, это ж мои конституционные полномочия. За что вы меня упрекаете?","","","","","","","","","","","","","","","","","","","","",""
"","","","899","message","2020-08-09T07:28:05","","БАЖ / BAJ","9691800322","(File not included. Change data exporting settings to download.)","800","698","В Минске брутально задержаны журналисты российского телеканала ""Дождь"" Владимир Роменский, Василий Поклонский и оператор Николай Антипов.\n\nНа видео видно, как люди в штатском и в масках кладут их на асфальт и увозят в неизвестном направлении.","","","","","","","","","","","","","","","","","","","","",""
"","","","900","message","2020-08-09T10:54:10","2020-08-09T10:55:24","БАЖ / BAJ","9691800322","","","","Инцидент на участке в средней школе № 32 (Камайская, 18). \n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," зашел на избирательный участок.\n\n— Нас зарегистрировали для работы, однако председатель избирательной комиссии Михайлова стала требовать работать только от стенки с надписью «место для СМИ». Когда корреспонденты не согласились, она привлекла милиционера, который выдворил журналистов с участка.\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://baj.by/be/content/bazh-sledit-za-situaciey-v-den-vyborov-obnovlyaetsya","","","","","","","","","","","","","","","","","","",""
"","","","901","message","2020-08-09T11:14:56","2020-08-09T11:19:51","БАЖ / BAJ","9691800322","","","","В квартиру, которую журналисты Дождя снимали в Минске, пришли с обыском, сообщил Дождю адвокат Антон Гашинский. По словам Гашинского, обыск проводят люди в штатском и черных масках, они не представились. Адвоката на обыск не пустили.\n\nОбновлено. Гашинский сообщил Дождю, что обыск закончился. Он передал слова арендодателя о том, что люди в штатском ничего не изъяли — просто осмотрели все и ушли.","","","","","","","","","","","","","","","","","","","","",""
"","","","902","message","2020-08-09T11:47:22","2020-08-09T11:54:46","БАЖ / BAJ","9691800322","","","","На выходе из квартиры задержана журналист Екатерина Ткаченко.\nМилиция ждала под квартирой. Предварительно, везут в Центральное РУВД.\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://baj.by/be/content/bazh-sledit-za-situaciey-v-den-vyborov-obnovlyaetsya","","","","","","","","","","","","","","","","","","",""
"","","","903","message","2020-08-09T12:17:42","","БАЖ / BAJ","9691800322","","","","","text_link","Задержанных","https://baj.by/be/content/v-minske-brutalno-zaderzhany-zhurnalisty-rossiyskogo-telekanala-dozhd-vladimir-romenskiy","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," в Минске журналистов ""Дождя"" срочно высылают из Беларуси.","","","","","","","","","","","","","","","","","","","","",""
"","","","905","message","2020-08-09T12:54:00","","БАЖ / BAJ","9691800322","","","","","bold","В Минске на улице схвачена официальный представитель ""Белсата"" Ирина Славникова.\nПредварительно, везут в Ленинское РУВД.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://baj.by/be/content/bazh-sledit-za-situaciey-v-den-vyborov-obnovlyaetsya","","","","","","","","","","","","","","","","","","",""
"","","","906","message","2020-08-09T13:14:36","2020-08-09T13:14:48","БАЖ / BAJ","9691800322","","","","По данным видеоагентства ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Ruptly","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",", задержаны и более 10 часов не выходят на связь два стрингера, работавшие для агентства в Минске","","","","","","","","","","","","","","","","","","","","",""
"","","","907","message","2020-08-09T13:15:10","","БАЖ / BAJ","9691800322","","","","Журналиста «Нашей Нивы» выгнали с участка в Минске. Председатель комиссии Крайнов Владислав Владимирович, услышав, что в фойе журналист, сразу позвал милиционера. Не стал даже регистрировать в журнал СМИ: сказал, что следить за голосованием, а тем более за подсчетом корреспондентам нельзя.\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://baj.by/be/content/bazh-sledit-za-situaciey-v-den-vyborov-obnovlyaetsya","","","","","","","","","","","","","","","","","","",""
"","","","908","message","2020-08-09T14:15:36","","БАЖ / BAJ","9691800322","","","","","bold","В Могилеве задержана журналист TUT.BY Анжелика Василевская. В Гродно задержана журналист TUT.BY Ольга Комягина.","","","","","","","","","","","","","","","","","","",""
"","","","909","message","2020-08-09T14:52:22","","БАЖ / BAJ","9691800322","","","","","bold","В Гродно также задержаны журналисты Александр Саенко, Алексей Кайрис, Сергей Людкевич","","","","","","","","","","","","","","","","","","",""
"","","","911","message","2020-08-09T15:23:50","2020-08-09T16:17:43","БАЖ / BAJ","9691800322","","","","","bold","Журналистку Екатерину Ткаченко, задержанную в Минске, освободили из Центрального РУВД!\n\nЕкатерину","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," задерживал ОМОН, был приказ, у сотрудников была фотография Екатерины. Она рассказала, что вместе с ней в РУВД были журналисты ""Дождя"", которых депортируют из Беларуси.","","","","","","","","","","","","","","","","","","","","",""
"","","","912","message","2020-08-09T15:44:38","","БАЖ / BAJ","9691800322","","","","","bold","БелТА: За последние два дня Мининформу пришлось вынести два предупреждения и ограничить доступ к одному интернет-ресурсу. В последнем случае такие меры пришлось принимать из-за публикации результатов exit poll. ""За пять до дней выборов их публикация запрещена. В итоге было принято оперативно решение о блокировке ресурса. \n\nМинистр признал, что в последнее время в Беларуси несколько упустили ситуацию с развитием интернет-СМИ, сетевых изданий. В будущем Мининформ намерен сосредоточиться именно на этом направлении.","","","","","","","","","","","","","","","","","","",""
"","","","913","message","2020-08-09T15:46:02","","БАЖ / BAJ","9691800322","","","","","bold","TUT.BY о событиях в Минске сейчас: В какой-то момент журналисты увидели на дороге сидящего человека, у него на спине надпись «Пресса». Мужчина держался за голову, вокруг стояли силовики. Позже мужчина лег на газон, потом его взяли под руки и увели за автозаки, так как он не мог идти сам.","","","","","","","","","","","","","","","","","","",""
"","","","914","message","2020-08-09T15:48:31","","БАЖ / BAJ","9691800322","","","","","bold","!!! Задержан журналист Белсата Стас Ивашкевич.\nОн успел сообщить коллегам, что его везут в ЦИП на Окрестина","","","","","","","","","","","","","","","","","","",""
"","","","918","message","2020-08-09T16:12:03","2020-08-09T16:13:03","БАЖ / BAJ","9691800322","","","","","bold","! Еврорадио: Избит фотограф Associated Press Мстислав Чернов. Его забирает скорая","","","","","","","","","","","","","","","","","","",""
"","","","920","message","2020-08-09T16:16:39","","БАЖ / BAJ","9691800322","","","","Около 22 часов пропала связь с Евгением Меркисом (журналистом из Гомеля).","","","","","","","","","","","","","","","","","","","","",""
"","","","923","message","2020-08-09T17:19:50","2020-08-09T17:28:29","БАЖ / BAJ","9691800322","","","","","bold","UDP. Информация о журналистах, которые остаются задержанными милицией по состоянию на 00:30.\n\nМинск: Ирина Славникова, Стас Ивашкевич. Журналисты «Дождя»: Владимир Роменский, Василий Поклонский, Николай Антипов.\n\nГродно: Александр Саенко, Алексей Кайрис, Сергей Людкевич.","","","","","","","","","","","","","","","","","","",""
"","","","924","message","2020-08-09T17:27:02","","БАЖ / BAJ","9691800322","","","","","bold","Журналистов TUT.BY в Гродно и Могилеве отпустили из РУВД.","","","","","","","","","","","","","","","","","","",""
"","","","925","message","2020-08-09T17:51:56","2020-08-10T04:30:11","БАЖ / BAJ","9691800322","","","","","bold","В Витебске задержаны журналисты Дмитрий Казакевич, Вячеслав Лазарев и Игорь Матвеев.","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," Лазарева позже освободили.","","","","","","","","","","","","","","","","","","","","",""
"","","","926","message","2020-08-10T00:45:48","2020-08-10T01:04:26","БАЖ / BAJ","9691800322","","","","","bold","Информация на утро понедельника. В Минске пройдут суды над задержанными журналистами Стасом Ивашкевичем (неизвестно, какой суд) и переводчицей Анной Шамко (она помогала польскому журналисту, суд Октябрьского района).\n\nМы будем обновлять информацию по мере поступления.\n\nСайт БАЖ остается недоступным для многих пользователей из Минска.\nТакже ночью был полностью заблокирован мобильный номер БАЖ. Сим-карта перестала регистрироваться в сети.\n\nUPD","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",". Стало известно, что Ирину Славникову вчера освободили.","","","","","","","","","","","","","","","","","","","","",""
"","","","928","message","2020-08-10T01:14:25","","БАЖ / BAJ","9691800322","","","","","bold","Задержанная в Минске съемочная группа телеканала ""Дождь"" вернулась в Россию.\nСотрудник посольства РФ довез их до Смоленска, сообщил канал.","","","","","","","","","","","","","","","","","","",""
"","","","929","message","2020-08-10T01:23:35","","БАЖ / BAJ","9691800322","","","","","bold","Стало известно, что в Глубоком (Витебская область) вчера был задержан журналист Дмитрий Лупач. Сегодня суд.","","","","","","","","","","","","","","","","","","",""
"","","","930","message","2020-08-10T02:58:04","2020-08-10T03:11:47","БАЖ / BAJ","9691800322","","","","","bold","Стало известно:","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," В Минске сотрудники милиции избили специального корреспондента «Медузы» ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Максима Солопова","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",", освещавшего происходившее в городе во время президентских выборов. Об этом сообщает Daily Storm","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold",",","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," чьи корреспонденты ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Антон Старков и Дмитрий Ласенко","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," также были задержаны сотрудниками правоохранительных органов.\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Журналисты позвонили в редакцию из автозака и рассказали, что не получили серьезных травм, но милиционеры «очень избили Максима Солопова из „Медузы“».\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","﻿Журналисты Daily Storm успели сообщить, что их везут в Московское РУВД Минска, после чего связь с ними прервалась.","","","","","","","","","","","","","","","","","","","","",""
"","","","932","message","2020-08-10T03:14:03","2020-08-10T03:16:21","БАЖ / BAJ","9691800322","","","","","bold","ПЦ ""ВЕСНА"": Один человек погиб во время событий в Минске\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Как ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","text_link","стало известно","https://spring96.org/be/news/98921","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," правозащитникам «Весны», в Минске погиб один из участников акции протеста, которая проходила вечером и ночью с 9 на 10 августа.\n\nМолодой человек получил черепно-мозговую травму, несовместимую с жизнью, в результате наезда на него спецтехники на проспекте Победителей. Медики скорой помощи, приехавшие на место происшествия, не смогли его спасти.\n\nТакже, по сведениям «Весны» , в минских больницах находятся десятки пострадавших во время акции. Известно, что два отделения военного госпиталя заняты ранеными. Также пострадавшие находятся в больнице скорой медицинской помощи и в 6-й больнице Минска","","","","","","","","","","","","","","","","","","","","",""
"","","","933","service","2020-08-10T03:19:00","","","","","","","","","","","БАЖ / BAJ","9691800322","pin_message","932","","","","","","","","","","","","","",""
"","","","934","message","2020-08-10T04:29:36","2020-08-10T04:31:08","БАЖ / BAJ","9691800322","","","","","bold","В Витебске будут судить журналистов Дмитрия Казакевича и Игоря Матвеева, коллеги дежурят возле суда.","","","","","","","","","","","","","","","","","","",""
"","","","935","message","2020-08-10T04:30:11","","БАЖ / BAJ","9691800322","","","","","bold","Могилев\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","9 августа милиция задержала журналистку-фрилансера ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Дарью Чульцову","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",". Почти 12 часов она была в РУВД. Ее задержали на улице около 14-00 и отвезли в РОВД. При задержании заявили, что она якобы проходит свидетелем по какому-то делу журналистки Алины Скребуновой. В Ленинском РУВД журналистку сначала просто держали в одном из кабинетов, вечером с ней начали проводить беседу: начали с разговоров на разные темы, завершили вопросаи о ее работе. \n\nСоставили протокол по статье 22.9 КоАП и вручили повестку с требованием явиться в РУВД 13 августа.\n\nИз РУВД Дарью Чульцову отпустили около 2 часов ночи 10 августа.\n\n\nЖурналист ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Дмитрий Соловьев ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","был задержан 7 августа, с этого времени находится в ИЧУ. Его дела нет ни в Ленинском суде, ни в Ленинском РУВД. Журналисты и правозащитники дежурят около здания суда.","","","","","","","","","","","","","","","","","","","","",""
"","","","936","message","2020-08-10T05:29:06","","БАЖ / BAJ","9691800322","","","","","bold","Сегодня на проходной Горизонта не пустили журналистов в Пресс-клуб на пресс-конференцию правозащитников. По условиям аренды помещения, Пресс-клуб имеет право проводить мероприятия.\n\nВ 12 часов должна была начаться конференция общественной кампании независимого наблюдения «Праваабаронцы за свабодныя выбары» по итогам выборов президента. Организаторы всё равно проведут встречу в помещении пен-центра на улице Румянцева.","","","","","","","","","","","","","","","","","","",""
"","","","937","message","2020-08-10T07:00:53","","БАЖ / BAJ","9691800322","","","","❗️ Задержан журналист Пресс-клуба Беларусь  и проекта Media IQ ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Алексей Худанов","","","","","","","","","","","","","","","","","","",""
