"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__sticker_emoji"
"","","","3776","message","2020-09-02T06:24:21","","отчислено","9910498247","","1280","720","Такого в белорусских ВУЗах ещё не было никогда.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","58","","","","","","","",""
"","","","3777","message","2020-09-02T06:33:59","","отчислено","9910498247","","","","Напоминаем, что свои фото и видео с происходящих сейчас событий вы можете присылать к нам в бота- ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","mention","@studentybot","","","","","","","","","","","","","","",""
"","","","3778","message","2020-09-02T07:07:56","","отчислено","9910498247","","","","А все помнят, что Беларусь всё ещё входит в Болонский процесс? Опять же, ни на что не намекаем)","","","","","","","","","","3758","","","","","","",""
"","","","3779","message","2020-09-02T07:15:34","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1000","750","Сегодня студенты физического факультета БГУ поддержали своего преподавателя, которого вызвали в Следственный комитет.","","","","","","","","","","","","","","","","",""
"","","","3780","message","2020-09-02T07:53:28","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","960","1280","Студенты БГЭУ выходят из БРСМ✌️","","","","","","","","","","","","","","","","",""
"","","","3781","message","2020-09-02T08:11:33","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","686","1280","Ректорат МГЛУ выдал свою позицию по вчерашним событиям.","","","","","","","","","","","","","","","","",""
"","","","3782","message","2020-09-02T08:27:49","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1242","851","На сайте Лицея БГУ появилось коллективное обращение по поводу вчерашних событий.","","","","","","","","","","","","","","","","",""
"","","","3783","message","2020-09-02T08:49:06","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1280","960","Очередь на выход из БРСМ в БГУИРе.","","","","","","","","","","","","","","","","",""
"","","","3784","message","2020-09-02T09:06:07","2020-09-02T09:06:51","отчислено","9910498247","","","","По поводу задержанных студентов и сотрудников БГУ: \nВсего 15 человек.\n12 человек выпустили без протокола на поруки, заступился университет.\n3 человек не отдали, на на них будут протоколы, из них 2 точно штрафы, по последнему неизвестно.","","","","","","","","","","","","","","","","",""
"","","","3785","message","2020-09-02T09:13:30","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","869","527","Сегодня в Гродно открыли 13-этажное здание общежития Гродненского государственного университета имени Янки Купалы, рассчитанное на 1030 мест.","","","","","","","","","","","","","","","","",""
"","","","3786","message","2020-09-02T09:36:13","2020-09-02T09:36:23","отчислено","9910498247","(File not included. Change data exporting settings to download.)","956","1276","БРСМ БГУ тоже закрыт.","","","","","","","","","","","","","","","","",""
"","","","3787","message","2020-09-02T10:57:12","","отчислено","9910498247","","720","1280","Витебск, студентов добровольно-принудительно попросили прийти на открытие дороги, оказалось - митинг.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","10","","","","","","","",""
"","","","3788","message","2020-09-03T03:09:34","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","803","1080","Студенты и преподаватели БГАМ подписали обращение к руководству академии.","","","","","","","","","","","","","","","","",""
"","","","3789","message","2020-09-03T04:23:17","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","960","1280","Очередь на выход из БРСМ и профкома в ГрГУ.","","","","","","","","","","","","","","","","",""
"","","","3790","message","2020-09-03T04:29:11","2020-09-03T04:30:44","отчислено","9910498247","(File not included. Change data exporting settings to download.)","519","794","На МСФ БНТУ студентам предлагают писать заявление на несколько дней и уезжать домой не только на выходные, но и на пятницу. Администрация настолько боится шумихи, что готова пожертвовать учётными днями?","","","","","","","","","","","","","","","","",""
"","","","3791","message","2020-09-03T04:35:38","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","960","1280","Заявления на выход из БРСМ БГЭУ.","","","","","","","","","","","","","","","","",""
"","","","3792","message","2020-09-03T04:50:47","2020-09-03T06:17:03","отчислено","9910498247","(File not included. Change data exporting settings to download.)","828","463","Кстати, ребята молодцы, потому что они подают заявления уже не первый раз. Секретарь БРСМ БГЭУ, которым является выпускница факультета права, уж очень не хочет отпускать студентов из организации.","","","","","","","","","","3791","","","","","","",""
"","","","3793","message","2020-09-03T04:50:47","2020-09-03T06:17:22","отчислено","9910498247","(File not included. Change data exporting settings to download.)","674","243","","","","","","","","","","","3791","","","","","","",""
"","","","3794","message","2020-09-03T04:50:47","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","828","293","","","","","","","","","","","3791","","","","","","",""
"","","","3795","message","2020-09-03T05:09:57","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","606","1280","А вот у председателя БРСМ БГУКИ, кажется, раздвоение личности. Сначала он пишет, что определённой формы заявления для выхода из организации нет, а потом его не устраивает форма поданных заявлений🤦‍♀️","","","","","","","","","","","","","","","","",""
"","","","3796","message","2020-09-03T05:09:57","2020-09-03T05:15:09","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1080","714","","","","","","","","","","","","","","","","","",""
"","","","3797","message","2020-09-03T05:33:51","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1280","1280","Исторический факультет БГУ вышел на акцию солидарности с задержанным 1 сентября студнтом Сергеем Сасункевичем, приговорённым к 15 суткам административного ареста.","","","","","","","","","","","","","","","","",""
"","","","3798","message","2020-09-03T05:33:51","","отчислено","9910498247","","1280","720","","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","12","","","","","","","",""
"","","","3799","message","2020-09-03T06:08:03","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","720","1280","В МГЛУ утро начинается с лекции по борьбе с организованной преступностью.\n\nСначала декана переводческого факультета зачитал обращение ректората МГЛУ, а потом передал слово неизвестному мужчине. Студенты опознали в нем подполковника МВД (ГУБОПиК) Алексея Бондаровича.","","","","","","","","","","","","","","","","",""
"","","","3800","message","2020-09-03T06:20:13","","отчислено","9910498247","","656","1280","Отрывок из встречи студентов МГЛУ с проректором по учебно-воспитательной работе.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","14","","","","","","","",""
"","","","3801","message","2020-09-03T06:47:00","","отчислено","9910498247","","","","","bold","В Витебске возле ветеринарной академии задержали 4 студентов","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\nКак сообщают свидетели, силовики дежурили у учебного заведения и задержали студентов, которые вышли из корпуса на большом перерыве. Среди задержанных-2 девушки.","","","","","","","","","","","","","","","","",""
"","","","3802","message","2020-09-03T06:47:43","","отчислено","9910498247","","","","","bold","Проректор БНТУ: Мы обратились официально, чтобы нам выделили ОМОН.\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","«Мы обратились официально, на основании закона о местном самоуправлении, в администрацию Советского района, выделить для охраны правопорядка БНТУ силовые структуры. Люди в балаклавах — это ОМОН. Люди в гражданском — это оперативные работники. Они и сегодня на территории БНТУ. Это не запрещается. У меня самое главное — безопасность людей. И если случается трагедия со студентом — я в тюрьму пойду», — ","","","","","","","","","","","","","","","","",""
